Category,Description,Limit,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual Total
,,,,,,,,,,,,
SAVE,,,,,,,,,,,,
YOUR_SAVING_CATEGORY_1,YOUR_DESCRIPTION_1,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
YOUR_SAVING_CATEGORY_2,YOUR_DESCRIPTION_2,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
YOUR_SAVING_CATEGORY_3,YOUR_DESCRIPTION_3,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
YOUR_SAVING_CATEGORY_4,YOUR_DESCRIPTION_4,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
YOUR_SAVING_CATEGORY_5,YOUR_DESCRIPTION_5,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
,,,,,,,,,,,,
STATIC EXPENSES,,,,,,,,,,,,
YOU_SPENDING CATEGORY_1,YOUR_DESCRIPTION_6,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
YOU_SPENDING CATEGORY_2,YOUR_DESCRIPTION_7,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
,,,,,,,,,,,,
DYNAMIC EXPENSES,,,,,,,,,,,,
YOU_SPENDING CATEGORY_3,YOUR_DESCRIPTION_8,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
YOU_SPENDING CATEGORY_4,YOUR_DESCRIPTION_9,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
YOU_SPENDING CATEGORY_5,YOUR_DESCRIPTION_10,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
YOU_SPENDING CATEGORY_6,YOUR_DESCRIPTION_11,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
YOU_SPENDING CATEGORY_7,YOUR_DESCRIPTION_12,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
YOU_SPENDING CATEGORY_8,YOUR_DESCRIPTION_13,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
YOU_SPENDING CATEGORY_9,YOUR_DESCRIPTION_14,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
,,,,,,,,,,,,
EXTRA CASH,,,,,,,,,,,,
"on-calls, MBO",YOUR_DESCRIPTION_15,N/A,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
,,,,,,,,,,,,
EXCESS,YOUR_DESCRIPTION_16,N/A,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
